0,1.18827135
1,1.3203015
2,1.3203015
3,1.45233165
4,1.5843618
5,1.5843618
6,1.5843618
7,1.71639195
8,1.71639195
9,1.71639195
10,1.71639195
11,1.71639195
12,1.71639195
13,1.71639195
14,1.71639195
15,1.71639195
16,1.8484221
17,1.8484221
18,1.8484221
19,1.8484221
20,1.8484221
21,1.8484221
22,1.8484221
23,1.8484221
24,1.8484221
25,1.8484221
26,1.8484221
27,1.8484221
28,1.8484221
29,1.8484221
30,1.8484221
31,1.8484221
32,1.98045225
33,1.98045225
34,1.98045225
35,1.98045225
36,1.98045225
37,1.98045225
38,1.98045225
39,1.98045225
40,1.98045225
41,1.98045225
42,1.98045225
43,1.98045225
44,1.98045225
45,1.98045225
46,1.98045225
47,1.98045225
48,1.98045225
49,2.1124824
50,2.1124824
51,2.1124824
52,2.1124824
53,2.1124824
54,2.1124824
55,2.1124824
56,2.1124824
57,2.1124824
58,2.1124824
59,2.24451255
60,2.24451255
61,2.50857285
62,2.640603
63,2.640603
64,2.77263315
65,2.77263315
66,3.03669345
67,3.1687236
68,3.1687236
69,3.1687236
70,3.1687236
71,3.30075375
72,3.30075375
73,3.4327839
74,3.56481405
75,3.6968442
76,3.6968442
77,3.82887435
78,3.82887435
79,3.9609045
80,3.9609045
81,3.9609045
82,3.9609045
83,4.09293465
84,4.09293465
85,4.09293465
86,4.2249648
87,4.2249648
88,4.2249648
89,4.2249648
90,4.35699495
91,4.35699495
92,4.4890251
93,4.4890251
94,4.4890251
95,4.62105525
96,4.62105525
97,4.62105525
98,4.7530854
99,4.88511555
100,5.0171457
